id;name;full_name;is_restricted
1;uniform PCI back up;Tactics architectures Planner;true
2;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;false
3;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;true
4;program;Metal array France;false
5;schemas Synergistic Personal Loan Account;Avon;true
6;digital deposit;extend Unbranded Fresh Pants Tools;true
7;interfaces;Garden Dale Wallis and Futuna;false
8;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;true
9;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;true
10;Strategist;card Licensed Cotton Ball;false
