id;name;full_name
1;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined
2;back-end enhance;optimal
3;Chair Kentucky;blue internet solution Concrete
4;distributed Ranch impactful;Berkshire Awesome
5;pixel Pennsylvania;architectures Cotton
6;viral;payment Illinois dot-com
7;methodology Integration Music;Pants
8;Avon;blue scalable Car
9;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent
10;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska
