id;description;length;width;height;weight;position;tracking_number;cubed_weight;cod_value;insurance_amount;freight_class;nmfc_code;weight_oz;item_value;harmonized_code
1;mobile Fish;9;7;7;1;5;Small;5;86617;33370;Metal depo;Producer;9;93855;Electronics
2;Soap methodology Albania;5;0;3;6;7;Steel zero administration;4;23277;45606;bluetooth;syndicate;11;59241;Refined Rubber Chicken Table
3;Automotive;11;11;6;9;4;Music;2;68423;24102;Bahamian D;Games Regional Digitized;7;75536;convergence
4;Mayotte;2;0;11;10;9;Markets Chief;7;72727;92187;Awesome;Aruba;11;32533;scale interactive generating
5;Specialist Home Loan Account;3;1;3;9;1;Industrial;5;77224;39488;24 hour;overriding;8;71134;1080p Checking Account Identity
6;Frozen IB;7;5;3;1;0;moratorium moratorium;8;59129;63755;COM;embrace Developer;10;76078;Idaho compress Avon
7;system Small;5;1;2;0;10;Harbor Montana;8;90756;13933;Investment;override User-centric;0;59886;Chilean Peso Unidades de fomento
8;Web virtual deposit;10;5;9;2;2;Human Ghana;9;12208;89609;support Go;withdrawal;0;81801;SQL Games
9;Iraq Bedfordshire;8;1;3;4;2;Gloves sky blue Oklahoma;4;36362;6489;Versatile ;capability zero tolerance Computers;7;97661;paradigms Home
10;Investor Public-key;1;6;5;5;11;Persistent Bulgarian Lev;9;36965;23763;transmitte;Point Orchestrator;4;53577;Licensed hacking installation
